name,tempmax,tempmin,feelslikemax,feelslikemin,humidity,precip,precipprob,precipcover,windspeed,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,description,day,month,year,sunset_time,sunrise_time,avg_temp,avg_feelsliketemp,dew_point,Overcast,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy",season
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,23.055555555555557,35.611111111111114,23.055555555555557,79.1,,0,0.0,17.2,51.6,7.7,,,,0.17,Partly cloudy throughout the day.,11,1,2000,18:00:13,06:27:30,26.666666666666668,28.333333333333332,22.555555555555554,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",32.05555555555556,23.055555555555557,33.0,23.055555555555557,62.2,,0,0.0,13.9,30.6,9.7,,,,0.2,Partly cloudy throughout the day.,12,1,2000,18:00:45,06:27:45,28.055555555555557,28.88888888888889,19.66666666666667,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",30.055555555555557,22.83333333333333,33.388888888888886,22.83333333333333,79.9,,0,0.0,15.0,65.0,8.6,,,,0.24,Partly cloudy throughout the day.,13,1,2000,18:01:16,06:28:00,25.055555555555554,25.666666666666668,21.166666666666664,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,21.833333333333332,32.77777777777778,21.833333333333332,73.2,,0,0.0,15.0,48.5,10.2,,,,0.25,Partly cloudy throughout the day.,14,1,2000,18:01:47,06:28:14,26.22222222222222,27.11111111111111,20.72222222222222,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",32.05555555555556,20.055555555555554,34.27777777777778,20.055555555555554,75.6,,0,0.0,12.8,30.0,15.2,,,,0.31,Partly cloudy throughout the day.,15,1,2000,18:02:18,06:28:27,25.444444444444443,26.22222222222222,20.166666666666668,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",29.166666666666668,20.833333333333332,32.833333333333336,20.833333333333332,80.0,,0,0.0,11.4,57.3,11.6,,,,0.34,Partly cloudy throughout the day.,16,1,2000,18:02:49,06:28:38,24.66666666666667,25.555555555555557,20.72222222222222,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",28.333333333333332,20.666666666666668,30.22222222222222,20.666666666666668,85.8,,0,0.0,11.4,79.6,6.6,,,,0.38,Partly cloudy throughout the day.,17,1,2000,18:03:19,06:28:49,24.166666666666668,24.777777777777775,21.444444444444443,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,22.055555555555557,34.44444444444444,22.055555555555557,80.8,,0,0.0,13.9,57.3,8.7,,,,0.41,Partly cloudy throughout the day.,18,1,2000,18:03:49,06:28:59,25.944444444444443,27.22222222222222,22.055555555555557,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",23.055555555555557,23.055555555555557,23.055555555555557,23.055555555555557,94.1,,0,0.0,0.0,30.0,6.8,,,,0.45,Partly cloudy throughout the day.,19,1,2000,18:04:18,06:29:08,23.055555555555557,23.055555555555557,22.055555555555557,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",27.055555555555557,23.055555555555557,29.27777777777778,23.055555555555557,84.0,,0,0.0,10.3,33.3,8.3,,,,0.5,Partly cloudy throughout the day.,21,1,2000,18:05:15,06:29:22,24.777777777777775,25.166666666666668,21.833333333333332,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.333333333333332,21.555555555555557,34.666666666666664,21.555555555555557,77.9,,0,0.0,16.1,42.9,8.2,,,,0.55,Partly cloudy throughout the day.,22,1,2000,18:05:43,06:29:28,26.444444444444443,27.88888888888889,21.944444444444443,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,23.055555555555557,34.666666666666664,23.055555555555557,79.4,,0,0.0,21.9,70.9,7.7,,,,0.58,Partly cloudy throughout the day.,23,1,2000,18:06:11,06:29:32,26.555555555555557,27.88888888888889,22.38888888888889,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",28.055555555555557,22.83333333333333,30.77777777777778,22.83333333333333,89.3,,0,0.0,15.0,85.9,6.0,,,,0.61,Partly cloudy throughout the day.,24,1,2000,18:06:38,06:29:36,24.444444444444443,24.833333333333332,22.5,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",30.333333333333332,22.055555555555557,34.22222222222222,22.055555555555557,83.8,,0,0.0,13.9,40.0,8.5,,,,0.65,Partly cloudy throughout the day.,25,1,2000,18:07:04,06:29:38,25.38888888888889,26.611111111111114,22.277777777777775,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",30.666666666666668,22.055555555555557,34.0,22.055555555555557,80.4,,0,0.0,17.2,50.4,8.9,,,,0.68,Partly cloudy throughout the day.,26,1,2000,18:07:30,06:29:40,26.22222222222222,27.555555555555554,22.333333333333332,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",30.055555555555557,22.83333333333333,33.388888888888886,22.83333333333333,85.4,,0,0.0,17.2,42.5,7.4,,,,0.71,Partly cloudy throughout the day.,27,1,2000,18:07:56,06:29:40,24.944444444444446,25.72222222222222,22.11111111111111,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,22.055555555555557,31.833333333333332,22.055555555555557,73.6,,0,0.0,16.1,74.5,10.0,,,,0.78,Partly cloudy throughout the day.,29,1,2000,18:08:45,06:29:38,25.888888888888886,26.444444444444443,20.33333333333333,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,20.666666666666668,33.111111111111114,20.666666666666668,78.0,,0,0.0,16.1,80.4,9.4,,,,0.81,Partly cloudy throughout the day.,30,1,2000,18:09:08,06:29:35,25.222222222222225,26.055555555555557,20.72222222222222,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,21.055555555555557,34.666666666666664,21.055555555555557,76.3,,0,0.0,17.2,65.0,8.4,,,,0.84,Partly cloudy throughout the day.,31,1,2000,18:09:31,06:29:32,26.0,27.11111111111111,21.22222222222222,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,23.166666666666668,34.666666666666664,23.166666666666668,80.8,,0,0.0,15.0,77.8,7.8,,,,0.87,Partly cloudy throughout the day.,1,2,2000,18:09:54,06:29:27,26.22222222222222,27.61111111111111,22.555555555555554,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,22.055555555555557,36.666666666666664,22.055555555555557,83.2,,0,0.0,20.8,64.1,8.1,,,,0.91,Partly cloudy throughout the day.,2,2,2000,18:10:16,06:29:21,25.777777777777782,27.16666666666667,22.555555555555554,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.166666666666668,23.055555555555557,35.611111111111114,23.055555555555557,80.3,,0,0.0,17.2,54.2,8.5,,,,0.94,Partly cloudy throughout the day.,3,2,2000,18:10:37,06:29:14,26.888888888888893,28.72222222222222,22.944444444444443,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,24.055555555555557,34.27777777777778,24.055555555555557,80.0,,0,0.0,18.3,41.3,6.5,,,,0.97,Partly cloudy throughout the day.,4,2,2000,18:10:57,06:29:06,26.666666666666668,27.77777777777778,22.61111111111111,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,23.666666666666664,34.666666666666664,23.666666666666664,75.9,,0,0.0,18.3,45.5,6.9,,,,0.0,Partly cloudy throughout the day.,5,2,2000,18:11:17,06:28:57,26.833333333333332,28.166666666666668,21.999999999999996,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.166666666666668,23.055555555555557,33.833333333333336,23.055555555555557,73.2,,0,0.0,16.1,47.1,7.9,,,,0.04,Partly cloudy throughout the day.,6,2,2000,18:11:36,06:28:48,26.38888888888889,27.277777777777775,20.888888888888886,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",32.05555555555556,21.055555555555557,32.5,21.055555555555557,71.3,,0,0.0,13.9,48.3,8.0,,,,0.08,Partly cloudy throughout the day.,7,2,2000,18:11:55,06:28:37,26.0,26.444444444444443,19.66666666666667,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",30.055555555555557,22.055555555555557,33.388888888888886,22.055555555555557,80.0,,0,0.0,19.5,62.7,8.0,,,,0.11,Partly cloudy throughout the day.,8,2,2000,18:12:13,06:28:25,24.833333333333332,25.500000000000004,21.0,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",30.055555555555557,21.055555555555557,32.166666666666664,21.055555555555557,81.6,,0,0.0,20.8,60.5,7.3,,,,0.15,Partly cloudy throughout the day.,9,2,2000,18:12:30,06:28:12,24.61111111111111,25.33333333333333,20.888888888888886,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",29.333333333333332,21.833333333333332,32.22222222222222,21.833333333333332,85.6,,0,0.0,19.5,70.5,7.1,,,,0.18,Partly cloudy throughout the day.,10,2,2000,18:12:47,06:27:58,24.27777777777778,24.88888888888889,21.555555555555557,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",30.055555555555557,21.833333333333332,33.72222222222222,21.833333333333332,80.3,,0,0.0,18.3,44.7,7.4,,,,0.22,Partly cloudy throughout the day.,11,2,2000,18:13:03,06:27:44,25.27777777777778,26.333333333333336,21.444444444444443,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",30.055555555555557,22.055555555555557,33.388888888888886,22.055555555555557,74.4,,0,0.0,17.2,44.2,7.4,,,,0.25,Partly cloudy throughout the day.,12,2,2000,18:13:19,06:27:28,25.444444444444443,26.11111111111111,20.27777777777778,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",25.166666666666668,20.833333333333332,25.166666666666668,20.833333333333332,87.3,,0,0.0,5.8,66.7,8.0,,,,0.29,Clearing in the afternoon.,13,2,2000,18:13:33,06:27:11,22.38888888888889,22.38888888888889,20.11111111111111,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,22.055555555555557,33.833333333333336,22.055555555555557,75.1,,0,0.0,13.9,47.5,6.9,,,,0.32,Partly cloudy throughout the day.,14,2,2000,18:13:48,06:26:54,26.5,27.722222222222225,21.333333333333336,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,24.166666666666668,34.666666666666664,24.166666666666668,70.1,,0,0.0,15.0,62.0,6.9,,,,0.36,Partly cloudy throughout the day.,15,2,2000,18:14:01,06:26:36,28.444444444444443,30.77777777777778,22.22222222222222,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",30.055555555555557,23.055555555555557,33.388888888888886,23.055555555555557,81.8,,0,0.0,17.2,74.0,10.5,,,,0.39,Partly cloudy throughout the day.,16,2,2000,18:14:14,06:26:16,25.944444444444443,27.055555555555557,22.444444444444446,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,22.055555555555557,31.944444444444443,22.055555555555557,70.0,,0,0.0,13.9,77.8,10.2,,,,0.43,Partly cloudy throughout the day.,17,2,2000,18:14:26,06:25:56,26.27777777777778,26.833333333333332,19.833333333333332,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",28.055555555555557,21.055555555555557,30.22222222222222,21.055555555555557,86.0,,0,0.0,17.2,85.5,6.0,,,,0.46,Partly cloudy throughout the day.,18,2,2000,18:14:38,06:25:36,23.88888888888889,24.444444444444443,21.22222222222222,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",30.055555555555557,23.833333333333336,32.666666666666664,23.833333333333336,72.7,,0,0.0,20.8,76.7,7.0,,,,0.5,Partly cloudy throughout the day.,19,2,2000,18:14:49,06:25:14,26.77777777777778,27.944444444444443,21.333333333333336,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",28.055555555555557,23.666666666666664,32.05555555555556,23.666666666666664,86.2,,0,0.0,13.9,92.5,7.5,,,,0.53,Cloudy skies throughout the day.,20,2,2000,18:15:00,06:24:52,25.33333333333333,25.944444444444443,22.83333333333333,1,0,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",30.055555555555557,24.66666666666667,34.27777777777778,24.66666666666667,84.3,,0,0.0,15.0,90.6,4.0,,,,0.56,Cloudy skies throughout the day.,21,2,2000,18:15:10,06:24:28,26.444444444444443,28.000000000000004,23.444444444444443,1,0,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",30.055555555555557,24.555555555555557,33.388888888888886,24.555555555555557,77.6,,0,0.0,16.1,72.1,6.2,,,,0.6,Partly cloudy throughout the day.,22,2,2000,18:15:19,06:24:04,26.944444444444443,28.22222222222222,22.5,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,22.666666666666668,33.833333333333336,22.666666666666668,79.0,,0,0.0,13.9,35.8,6.8,,,,0.63,Partly cloudy throughout the day.,23,2,2000,18:15:28,06:23:40,25.944444444444443,26.833333333333332,21.722222222222218,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,23.055555555555557,33.833333333333336,23.055555555555557,79.2,,0,0.0,16.1,58.1,8.5,,,,0.66,Partly cloudy throughout the day.,24,2,2000,18:15:37,06:23:14,26.166666666666664,27.333333333333332,21.999999999999996,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,23.055555555555557,33.833333333333336,23.055555555555557,76.1,,0,0.0,11.4,66.2,8.6,,,,0.69,Partly cloudy throughout the day.,25,2,2000,18:15:45,06:22:48,26.333333333333336,27.5,21.555555555555557,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",32.05555555555556,20.666666666666668,35.0,20.666666666666668,73.1,,0,0.0,15.0,55.7,9.1,,,,0.75,Partly cloudy throughout the day.,26,2,2000,18:15:52,06:22:22,27.277777777777775,28.944444444444443,21.666666666666668,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,21.055555555555557,34.666666666666664,21.055555555555557,82.6,,0,0.0,10.3,40.8,9.7,,,,0.76,Partly cloudy throughout the day.,27,2,2000,18:15:59,06:21:54,24.777777777777775,25.611111111111107,21.38888888888889,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",32.666666666666664,22.055555555555557,37.77777777777778,22.055555555555557,74.5,,0,0.0,15.0,79.1,9.8,,,,0.79,Partly cloudy throughout the day.,28,2,2000,18:16:05,06:21:26,27.277777777777775,29.5,21.999999999999996,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",30.055555555555557,22.055555555555557,33.388888888888886,22.055555555555557,80.5,,0,0.0,12.8,66.9,9.1,,,,0.82,Partly cloudy throughout the day.,29,2,2000,18:16:11,06:20:58,25.500000000000004,26.77777777777778,21.666666666666668,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,23.055555555555557,34.666666666666664,23.055555555555557,74.6,,0,0.0,15.0,47.2,8.9,,,,0.85,Partly cloudy throughout the day.,1,3,2000,18:16:16,06:20:28,26.333333333333336,27.444444444444446,21.27777777777778,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",32.05555555555556,22.055555555555557,35.0,22.055555555555557,71.3,,0,0.0,15.0,78.3,7.3,,,,0.89,Partly cloudy throughout the day.,2,3,2000,18:16:21,06:19:59,27.722222222222225,29.555555555555557,21.611111111111114,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",29.055555555555557,23.055555555555557,32.833333333333336,23.055555555555557,84.1,,0,0.0,13.9,60.8,8.1,,,,0.92,Partly cloudy throughout the day.,3,3,2000,18:16:26,06:19:29,25.72222222222222,26.5,22.77777777777778,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",32.05555555555556,22.83333333333333,35.888888888888886,22.83333333333333,80.4,,0,0.0,16.1,40.6,9.5,,,,0.95,Partly cloudy throughout the day.,4,3,2000,18:16:30,06:18:58,26.166666666666664,27.38888888888889,22.16666666666667,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,23.055555555555557,34.666666666666664,23.055555555555557,84.3,,0,0.0,11.4,46.9,7.3,,,,0.98,Partly cloudy throughout the day.,5,3,2000,18:16:34,06:18:27,25.555555555555557,26.722222222222218,22.5,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",30.666666666666668,21.333333333333336,32.0,21.333333333333336,66.6,,0,0.0,16.1,54.4,14.7,,,,0.0,Becoming cloudy in the afternoon.,6,3,2000,18:16:37,06:17:55,27.22222222222222,28.111111111111107,20.0,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.166666666666668,20.055555555555554,32.77777777777778,20.055555555555554,67.1,,0,0.0,9.2,70.0,11.3,,,,0.05,Partly cloudy throughout the day.,7,3,2000,18:16:41,06:17:23,26.666666666666668,27.22222222222222,19.333333333333332,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",30.055555555555557,20.666666666666668,32.0,20.666666666666668,71.4,,0,0.0,13.9,80.6,10.7,,,,0.09,Partly cloudy throughout the day.,8,3,2000,18:16:43,06:16:50,26.055555555555557,26.999999999999996,20.166666666666668,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",32.05555555555556,20.055555555555554,34.27777777777778,20.055555555555554,72.9,,0,0.0,12.8,67.5,9.4,,,,0.12,Partly cloudy throughout the day.,9,3,2000,18:16:46,06:16:17,25.833333333333332,26.722222222222218,20.055555555555554,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",32.333333333333336,22.666666666666668,34.27777777777778,22.666666666666668,69.0,,0,0.0,16.1,78.1,9.2,,,,0.16,Partly cloudy throughout the day.,10,3,2000,18:16:48,06:15:44,26.77777777777778,27.722222222222225,20.166666666666668,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",30.833333333333332,23.055555555555557,35.333333333333336,23.055555555555557,76.7,,0,0.0,20.8,76.8,5.6,,,,0.19,Partly cloudy throughout the day.,11,3,2000,18:16:50,06:15:10,26.611111111111114,28.000000000000004,22.055555555555557,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",32.05555555555556,24.055555555555557,34.27777777777778,24.055555555555557,70.5,,0,0.0,21.9,80.8,3.1,,,,0.23,Partly cloudy throughout the day.,12,3,2000,18:16:51,06:14:36,27.5,28.555555555555557,21.27777777777778,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.666666666666668,23.055555555555557,33.111111111111114,23.055555555555557,71.2,,0,0.0,17.2,63.9,4.9,,,,0.25,Partly cloudy throughout the day.,13,3,2000,18:16:53,06:14:02,26.833333333333332,27.38888888888889,20.666666666666668,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",32.05555555555556,22.666666666666668,33.72222222222222,22.666666666666668,70.5,,0,0.0,20.8,34.3,6.6,,,,0.3,Partly cloudy throughout the day.,14,3,2000,18:16:54,06:13:28,26.444444444444443,27.11111111111111,20.11111111111111,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",30.055555555555557,23.055555555555557,32.666666666666664,23.055555555555557,76.6,,0,0.0,21.9,43.3,6.7,,,,0.34,Partly cloudy throughout the day.,15,3,2000,18:16:54,06:12:53,25.444444444444443,26.166666666666664,20.888888888888886,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.166666666666668,22.333333333333332,34.166666666666664,22.333333333333332,72.8,,0,0.0,18.3,38.4,7.4,,,,0.37,Partly cloudy throughout the day.,16,3,2000,18:16:55,06:12:18,25.833333333333332,26.444444444444443,20.33333333333333,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",32.05555555555556,22.055555555555557,33.0,22.055555555555557,66.8,,0,0.0,17.2,50.0,7.9,,,,0.41,Partly cloudy throughout the day.,17,3,2000,18:16:56,06:11:43,26.444444444444443,26.888888888888893,19.166666666666668,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",25.33333333333333,21.055555555555557,25.33333333333333,21.055555555555557,89.5,,0,0.0,0.0,55.0,8.3,,,,0.45,Clearing in the afternoon.,18,3,2000,18:16:56,06:11:07,22.38888888888889,22.38888888888889,20.555555555555557,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",24.66666666666667,23.333333333333332,24.66666666666667,23.333333333333332,88.8,,0,0.0,5.8,90.0,16.5,,,,0.61,Becoming cloudy in the afternoon.,23,3,2000,18:16:56,06:08:09,23.833333333333336,23.833333333333336,21.833333333333332,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",29.055555555555557,23.333333333333332,33.72222222222222,23.333333333333332,84.0,,0,0.0,15.0,90.0,8.3,,,,0.64,Partly cloudy throughout the day.,24,3,2000,18:16:55,06:07:33,26.0,27.5,23.055555555555557,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",29.555555555555557,23.055555555555557,33.388888888888886,23.055555555555557,86.9,,0,0.0,17.2,92.9,7.9,,,,0.68,Cloudy skies throughout the day.,25,3,2000,18:16:55,06:06:57,25.611111111111107,26.666666666666668,23.166666666666668,1,0,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",29.055555555555557,22.055555555555557,32.111111111111114,22.055555555555557,89.1,,0,0.0,11.4,97.9,4.9,,,,0.71,Cloudy skies throughout the day.,26,3,2000,18:16:55,06:06:21,24.055555555555557,24.222222222222218,22.055555555555557,1,0,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",30.055555555555557,22.055555555555557,33.388888888888886,22.055555555555557,84.9,,0,0.0,11.4,95.0,6.5,,,,0.75,Cloudy skies throughout the day.,27,3,2000,18:16:54,06:05:45,25.38888888888889,26.555555555555557,22.444444444444446,1,0,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,24.055555555555557,35.611111111111114,24.055555555555557,80.3,,0,0.0,21.9,87.8,6.2,,,,0.77,Partly cloudy throughout the day.,28,3,2000,18:16:54,06:05:09,26.999999999999996,28.72222222222222,23.055555555555557,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.333333333333332,24.055555555555557,34.666666666666664,24.055555555555557,75.3,,0,0.0,17.2,51.3,7.2,,,,0.8,Partly cloudy throughout the day.,29,3,2000,18:16:54,06:04:33,26.999999999999996,28.388888888888886,21.999999999999996,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,23.055555555555557,33.833333333333336,23.055555555555557,69.6,,0,0.0,15.0,50.6,8.3,,,,0.84,Partly cloudy throughout the day.,30,3,2000,18:16:53,06:03:57,27.555555555555554,29.0,21.166666666666664,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",30.055555555555557,22.055555555555557,33.388888888888886,22.055555555555557,81.1,,0,0.0,12.8,72.4,7.2,,,,0.87,Partly cloudy throughout the day.,31,3,2000,18:16:53,06:03:22,25.555555555555557,26.444444444444443,21.833333333333332,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,21.666666666666668,34.666666666666664,21.666666666666668,79.1,,0,0.0,13.9,68.0,9.5,,,,0.9,Partly cloudy throughout the day.,1,4,2000,18:16:53,06:02:46,26.11111111111111,27.38888888888889,21.944444444444443,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",29.333333333333332,22.83333333333333,33.388888888888886,22.83333333333333,87.3,,0,0.0,13.9,87.4,6.8,,,,0.93,Partly cloudy throughout the day.,2,4,2000,18:16:53,06:02:11,25.222222222222225,25.944444444444443,22.83333333333333,0,1,0,0,0,Dry
